tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Pepe, Luigi;;James Gregory e i matematici inglesi in Italia;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;107-126
articolo in volume miscellaneo;Roero, Clara Silvia;;Galileo e la sua scuola in Piemonte;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;347-371
articolo in volume miscellaneo;Torrini, Maurizio;;Galileo a Napoli;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;373-380
articolo in volume miscellaneo;Vesentini, Edoardo;;Sulle tracce di Galileo: la ricerca scientifica nelle Università italiane dei nostri giorni;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;1-5
poligrafia;;;;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;394
monografia;;;;Mondini, Marco;;Generazioni intellettuali. Storia sociale degli allievi della Scuola Normale Superiore di Pisa nel Novecento (1918-1946);Pisa;Edizioni della Normale;2011;;;;;313
poligrafia;;;;Rüegg, Walter;hrsg. von;Geschichte der Universität in Europa. 4. Vom Zweiten Weltkrieg bis zum Ende des 20. Jahrhunderts;München;Beck;2010;;;;;559
articolo in volume miscellaneo;Salustri, Simona;;L’emigrazione intellettuale degli studenti dell’America centro-meridionale verso le università italiane (1860-1970): un progetto di ricerca;Dogliani, Patrizia;a cura di;Giovani e generazioni nel mondo contemporaneo. La ricerca storica in Italia;Bologna;Clueb;2009;;;;;171-179
poligrafia;;;;Dogliani, Patrizia;a cura di;Giovani e generazioni nel mondo contemporaneo. La ricerca storica in Italia;Bologna;Clueb;2009;;;;;207
monografia;;;;Pennuto, Concetta;ed. critica, trad. e commento a cura di;Girolamo Fracastoro, “De sympathia et antipathia rerum, Liber I”;Roma;Edizioni di Storia e Letteratura;2008;;;;;361
monografia;;;;Lazzaretto, Alba;;Giulio Alessio e la crisi dello Stato liberale;Padova;Cluep;2012;;;;;181
monografia;;;;Galli, Giovanni;a cura di;Giuseppe Frank. Memorie II, presentazione di Paolo Mazzarello;Milano;Cisalpino;2010;;;;;304
articolo in volume miscellaneo;Venturoli, Cinzia;; L'Università e la protesta giovanile: gli studenti a Bologna;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;249-265
articolo in volume miscellaneo;Bellassai, Sandro;;Un trauma che si chiama desiderio. Per una storia del Sessantasette a Bologna;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;213-234
articolo in volume miscellaneo;Capecchi, Vittorio;;La ricerca sociologica negli anni Settanta dentro e fuori l'Università;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;24-54
articolo in volume miscellaneo;Cretella, Chiara;; L'ala creativa bolognese. Il caso del Collettivo A/traverso;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;353-370
articolo in volume miscellaneo;De Bernardi, Alberto;;I movimenti di protesta e la lunga depressione dell'economia italiana;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;119-135
articolo in volume miscellaneo;Francescangeli, Eros;; Sorvegliare con lentezza. I gruppi della sinistra extraparlamentare bolognese nelle carte di polizia;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;322-337
articolo in volume miscellaneo;La Fata, Ilaria;; L'assalto al muro. Immagini e graffiti sui muri del Sessantasette bolognese;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;338-352
articolo in volume miscellaneo;Preti, Alberto;;Bologna 1977: l'Università;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;235-248
articolo in volume miscellaneo;Romitelli, Valerio;;Politiche e “movimenti” negli anni Settanta.Problematiche, categorie d'analisi e giudizi storiografici;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;136-152
articolo in volume miscellaneo;Salustri, Simona;;La fine del movimento del '77. Bologna punto e a capo?;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;266-284
articolo in volume miscellaneo;Tolomelli, Marica;;Militanza e violenza politicamente motivata negli anni Settanta;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;192-210
poligrafia;;;;Cretella, Chiara - De Bernardi, Alberto - Romitelli, Valerio;a cura di;Gli anni Settanta. Tra crisi mondiale e movimenti collettivi;Bologna;Archetipolibri-Gedit ;2009;;;;;370, tavole fuori testo 373-379
poligrafia;;;;Montaldo, Silvano - Novaria, Paola;a cura di;Gli archivi della scienza. L'Università di Torino e altri casi italiani;Milano;Franco Angeli;2011;;;;;237
articolo in volume miscellaneo;De Fort, Ester;;Le Università;Isnenghi, Mario - Cecchinato, Eva;a cura di;Gli italiani in guerra. Conflitti, identità, memorie dal Risorgimento ai giorni nostri;Torino;Utet;2008;1;;;;467-482
articolo in volume miscellaneo;Capano, Giliberto;;Un centro organizzato per non governare?;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;157-173
articolo in volume miscellaneo;Della Cananea, Giacinto;;La nuova cornice legislativa delle università: competizione, regolazione, valutazione;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;137-156
articolo in volume miscellaneo;Endrici, Giovanna;;Il centro valutatore;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;175-190
articolo in volume miscellaneo;Gardini, Gianluca;;Così diversi, ma così uguali: la contrattualizzazione come strumento per la differenziazione dei docenti universitari;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;207-226
articolo in volume miscellaneo;Martinotti, Guido;;È possibile un'alternativa al sistema dei concorsi?;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;85-100
articolo in volume miscellaneo;Moretti, Mauro;;Sul passato - e sul presente - dei concorsi;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;23-49
articolo in volume miscellaneo;Poggi, Anna Maria;;L'autonomia come esigenza di differenziazione. L'autonomia come esigenza di un “nuovo” centro;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;191-206
articolo in volume miscellaneo;Proli, Daniela;;Indirizzi e “vincoli” dall'Europa;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;117-134
articolo in volume miscellaneo;Roggero, Gigi;;Le trasformazioni dell'università;Bologna, Chiara - Endrici, Giovanna;a cura di;Governare le università. Il centro del sistema;Bologna;il Mulino;2011;;;;;51-68
